iter	Passed	Remaining
0	0	73
1	1	65
2	1	58
3	2	53
4	2	51
5	3	50
6	3	48
7	4	46
8	4	45
9	4	43
10	5	42
11	5	41
12	6	40
13	6	39
14	6	38
15	7	38
16	7	37
17	8	36
18	8	35
19	8	35
20	9	34
21	9	33
22	9	33
23	10	32
24	10	32
25	11	31
26	11	31
27	11	30
28	12	30
29	12	29
30	13	29
31	13	28
32	13	28
33	14	27
34	14	27
35	15	26
36	15	26
37	15	25
38	16	25
39	16	25
40	17	24
41	17	23
42	17	23
43	18	22
44	18	22
45	18	22
46	19	21
47	19	21
48	19	20
49	20	20
50	20	19
51	21	19
52	21	19
53	21	18
54	22	18
55	22	17
56	22	17
57	23	16
58	23	16
59	24	16
60	24	15
61	24	15
62	25	14
63	25	14
64	26	14
65	26	13
66	26	13
67	27	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	29	10
74	29	9
75	30	9
76	30	9
77	31	8
78	31	8
79	31	7
80	32	7
81	32	7
82	33	6
83	33	6
84	33	5
85	34	5
86	34	5
87	35	4
88	35	4
89	35	3
90	36	3
91	36	3
92	36	2
93	37	2
94	37	1
95	38	1
96	38	1
97	38	0
98	39	0
99	39	0
